session,status,source,destination,duplicate_of,note
23,move,assets/world-anvil/screenshots/Session 23/Session 23-03.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-03.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-04.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-04.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-05.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-05.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-06.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-06.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-07.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-07.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-08.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-08.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-09.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-09.png,,
23,move,assets/world-anvil/screenshots/Session 23/Session 23-10.png,assets/world-anvil/screenshots/Session 23 - Growth/Session 23-10.png,,
24,move,assets/world-anvil/screenshots/Session 24/Session 24-01.png,assets/world-anvil/screenshots/Session 24 - Visit to Varnhold/Session 24-01.png,,
24,move,assets/world-anvil/screenshots/Session 24/Session 24-02.png,assets/world-anvil/screenshots/Session 24 - Visit to Varnhold/Session 24-02.png,,
25,move,assets/world-anvil/screenshots/Session 25/Session 25-01.png,assets/world-anvil/screenshots/Session 25 - The Hunt Begins/Session 25-01.png,,
25,move,assets/world-anvil/screenshots/Session 25/Session 25-02.png,assets/world-anvil/screenshots/Session 25 - The Hunt Begins/Session 25-02.png,,
25,move,assets/world-anvil/screenshots/Session 25/Session 25-03.png,assets/world-anvil/screenshots/Session 25 - The Hunt Begins/Session 25-03.png,,
25,move,assets/world-anvil/screenshots/Session 25/Session 25-04.png,assets/world-anvil/screenshots/Session 25 - The Hunt Begins/Session 25-04.png,,
