status,session,source,destination,duplicate_of,sha256,note
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-21.webp,assets/world-anvil/screenshots/Session 13/Session 13-21.webp,,2c2f1dc5e9e77a21070c53e4a4ab0e45069afb29dbd39636944a689c0cae6d1f,
move,Session 13,assets/world-anvil/screenshots-originals/Session 13/Session 13-22.webp,assets/world-anvil/screenshots/Session 13/Session 13-22.webp,,563e6d76e50b1731b3f16a10eacfe153e9128284b631e2e0858cca5e5c498705,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-01.webp,assets/world-anvil/screenshots/Session 14/Session 14-01.webp,,b9c3edefc63681be25b9c1ea1963bc4f6837404f4e539e4679ebcbd991e63036,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-02.webp,assets/world-anvil/screenshots/Session 14/Session 14-02.webp,,9b16f4e146e66df89014242b20c07b4a86e685642fa5948ce32cac2c29d9fe9f,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-03.webp,assets/world-anvil/screenshots/Session 14/Session 14-03.webp,,25b1a4c41c3a1e052630f6ea460a6894959a031da3e4ff7ad55041b858409b7c,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-04.webp,assets/world-anvil/screenshots/Session 14/Session 14-04.webp,,0ebbfa0a17227721d6b2bc0b307b31631c26722f8379f9fa676399d7d5750928,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-05.webp,assets/world-anvil/screenshots/Session 14/Session 14-05.webp,,b68f0f6937a5d5fdf3f8206c16f689d4aa60642dec4a7f3ca4b4782626737c53,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-06.webp,assets/world-anvil/screenshots/Session 14/Session 14-06.webp,,bbceb6c09bbf1c7214c8e7b9a8ece0c4d17e1a5b1f392a90df111d7f73daf7e2,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-07.webp,assets/world-anvil/screenshots/Session 14/Session 14-07.webp,,4be3c05c99086a040e2153ee414fc98a97346caaea70bbea0fa773a87aef9b38,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-08.webp,assets/world-anvil/screenshots/Session 14/Session 14-08.webp,,6de18128447ba50406dd5cf6582c2c29c03ff4134645f1a965fa62c4b4d40ca7,
move,Session 14,assets/world-anvil/screenshots-originals/Session 14/Session 14-09.webp,assets/world-anvil/screenshots/Session 14/Session 14-09.webp,,f4661a2c4463fc022397ccfa126725875161cddd1660d70057329a4c4c4ec6b4,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-01.webp,assets/world-anvil/screenshots/Session 15/Session 15-01.webp,,7f3b1d8ef8d97048b5d9b7068b34456a7d94329f9f3aebb103b08352ab55d364,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-02.webp,assets/world-anvil/screenshots/Session 15/Session 15-02.webp,,ad4d0fbb0dbcdb9e2ee0248d8e56ddace61d10b74c73dac533b0c1ad97c04e69,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-03.webp,assets/world-anvil/screenshots/Session 15/Session 15-03.webp,,f4b6ae82ab44d19fedb420dd4faa9564aaa1b166904e0cc40bcc9993d6c0089c,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-04.webp,assets/world-anvil/screenshots/Session 15/Session 15-04.webp,,2d02eebba4930067b549459d38a1fcfdc9730dc144b54d51be948951b01ee9fc,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-05.webp,assets/world-anvil/screenshots/Session 15/Session 15-05.webp,,d9a399ac7c0d90e9d70928df512795cffa9cc34951bceba7aadceb38981586b1,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-06.webp,assets/world-anvil/screenshots/Session 15/Session 15-06.webp,,7ce9dd86247b4c10dd5e71f8bdc3e704edd3fa3f81f387216e8e2890579f18dc,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-07.webp,assets/world-anvil/screenshots/Session 15/Session 15-07.webp,,89fad29e6a9db3eb45cf4e0a7e034b304f2b358631feb377c03e4c1298dd5bbf,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-08.webp,assets/world-anvil/screenshots/Session 15/Session 15-08.webp,,4340057e318f9bb81c70de1aa1a26d27501a9e69a092974c7b2317b102710eb2,
move,Session 15,assets/world-anvil/screenshots-originals/Session 15/Session 15-09.png,assets/world-anvil/screenshots/Session 15/Session 15-09.png,,225b9b7d27e2aba405e3d7f8dd89d1c2ee6bc66ddfa439e288e62eec4b1d6c31,
