old_path,new_path,original_bytes,webp_bytes,saved_bytes,status,error
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-09.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-09.webp,2264742,205818,2058924,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-10.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-10.webp,2091890,153748,1938142,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-11.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-11.webp,2197470,182450,2015020,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-12.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-12.webp,2174118,164732,2009386,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-13.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-13.webp,3016580,244286,2772294,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-14.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-14.webp,2123019,151656,1971363,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-15.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-15.webp,2084590,138512,1946078,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-16.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-16.webp,2763900,171496,2592404,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-17.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-17.webp,2654725,138960,2515765,converted,
assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-18.png,assets/world-anvil/screenshots/Session 49 - The Rushlight Begins/Session 49-18.webp,2162295,168116,1994179,converted,
